                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1329,                 1.6517,                 1.2861,                0.21311,                 0.1625,                0.11174,                0.06673,                 1.1877,                 36.918,                 1.6285,             0.00065934,             0.00065934,             0.00065934
                      2,                 1.2346,                 1.2122,                 1.4398,                0.00201,                    0.3,                0.00127,                0.00062,                 3.4424,                    inf,                 6.6958,              0.0013129,              0.0013129,              0.0013129
                      3,                 1.2048,                 1.1022,                  1.474,                0.38479,                0.33619,                0.28424,                0.15344,                 1.9459,                 2.3766,                 2.3507,              0.0019532,              0.0019532,              0.0019532
                      4,                 1.1866,                 1.0583,                 1.4709,                0.61808,                0.68125,                0.63584,                0.40095,                 1.2337,                 2.2496,                 1.8573,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1383,                 0.9691,                 1.4286,                0.72759,                0.68125,                0.72231,                0.51018,                 1.1327,                 1.1166,                 1.6177,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0646,                0.86199,                  1.353,                0.70518,                 0.8521,                0.76803,                 0.5485,                 1.0824,                 1.1329,                 1.5885,               0.001901,               0.001901,               0.001901
                      7,                 1.0284,                0.77918,                 1.3229,                0.77334,                 0.8625,                0.84926,                  0.621,                 1.0016,                0.95963,                 1.4707,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.9891,                0.75832,                 1.3104,                0.72865,                0.85625,                0.78779,                0.57121,                  1.076,                0.93322,                 1.5529,              0.0018614,              0.0018614,              0.0018614
                      9,                0.99559,                0.75459,                  1.297,                0.77331,                0.86875,                0.82234,                0.57962,                 1.0498,                0.88568,                 1.4907,              0.0018416,              0.0018416,              0.0018416
                     10,                0.98174,                0.75095,                 1.2989,                0.79882,                0.89375,                0.85812,                0.63529,                 1.0246,                0.76201,                 1.4895,              0.0018218,              0.0018218,              0.0018218
                     11,                0.97361,                0.72137,                 1.2776,                0.79407,                0.89375,                0.81966,                0.60479,                0.97804,                0.80573,                 1.4621,               0.001802,               0.001802,               0.001802
                     12,                0.94387,                0.71272,                 1.2636,                 0.7604,                0.87277,                0.80459,                 0.5844,                 1.0225,                0.80164,                  1.439,              0.0017822,              0.0017822,              0.0017822
                     13,                0.90833,                0.68422,                 1.2478,                0.80474,                  0.825,                 0.8352,                0.63261,                0.98007,                 0.7807,                 1.4652,              0.0017624,              0.0017624,              0.0017624
                     14,                0.89556,                0.64278,                 1.2244,                0.78228,                 0.9125,                0.82985,                0.62088,                0.97834,                0.74496,                 1.4212,              0.0017426,              0.0017426,              0.0017426
